ORDERNUMBER;QUANTITYORDERED;PRICEEACH;ORDERLINENUMBER;SALES;ORDERDATE;STATUS;QTR_ID;MONTH_ID;YEAR_ID;PRODUCTLINE;MSRP;PRODUCTCODE;CUSTOMERNAME;PHONE;ADDRESSLINE1;ADDRESSLINE2;CITY;STATE;POSTALCODE;COUNTRY;TERRITORY;CONTACTLASTNAME;CONTACTFIRSTNAME
10107;30;95.7;2;2871;02/24/2003;Shipped   ;1;2;2003;Motorcycles     ;95;S10_1678 ;Land of Toys Inc.                 ;2125557818       ;897 Long Airport Avenue                   ;           ;NYC           ;NY           ;10022    ;United States;NA   ;Yu         ;Kwai      
10121;34;81.3;5;2765.9;05/07/2003;Shipped   ;2;5;2003;Motorcycles     ;95;S10_1678 ;Reims Collectables                ;26.47.1555       ;59 rue de l'Abbaye                        ;           ;Reims         ;             ;51100    ;France       ;EMEA ;Henriot    ;Paul      
10134;41;94.7;2;3884.3;07/01/2003;Shipped   ;3;7;2003;Motorcycles     ;95;S10_1678 ;Lyon Souveniers                   ;+33 1 46 62 7555 ;27 rue du Colonel Pierre Avia             ;           ;Paris         ;             ;75508    ;France       ;EMEA ;Da Cunha   ;Daniel    
10145;45;83.3;6;3746.7;08/25/2003;Shipped   ;3;8;2003;Motorcycles     ;95;S10_1678 ;Toys4GrownUps.com                 ;6265557265       ;78934 Hillside Dr.                        ;           ;Pasadena      ;CA           ;90003    ;USA          ;NA   ;Young      ;Julie     
10159;49;100;14;5205.3;10/10/2003;Shipped   ;4;10;2003;Motorcycles     ;95;S10_1678 ;Corporate Gift Ideas Co.          ;6505551386       ;7734 Strong St.                           ;           ;San Francisco ;CA           ;         ;United States;NA   ;Brown      ;Julie     
10168;36;96.7;1;3479.8;10/28/2003;Shipped   ;4;10;2003;Motorcycles     ;95;S10_1678 ;Technics Stores Inc.              ;6505556809       ;9408 Furth Circle                         ;           ;Burlingame    ;CA           ;94217    ;USA          ;NA   ;Hirano     ;Juri      
10180;29;86.1;9;2497.8;11/11/2003;Shipped   ;4;11;2003;Motorcycles     ;95;S10_1678 ;Daedalus Designs Imports          ;20.16.1555       ;184, chauss‚e de Tournai                  ;           ;Lille         ;             ;59000    ;France       ;EMEA ;Ranc‚      ;Martine   
10188;48;100;1;5512.3;11/18/2003;Shipped   ;4;11;2003;Motorcycles     ;95;S10_1678 ;Herkku Gifts                      ;+47 2267 3215    ;Drammen 121, PR 744 Sentrum               ;           ;Bergen        ;             ;N 5804   ;Norway       ;EMEA ;Oeztan     ;Veysel    
10201;22;98.6;2;2168.5;12/01/2003;Shipped   ;4;12;2003;Motorcycles     ;95;S10_1678 ;Mini Wheels Co.                   ;6505555787       ;5557 North Pendale Street                 ;           ;San Francisco ;CA           ;         ;United States;NA   ;Murphy     ;Julie     
10211;41;100;14;4708.4;01/15/2004;Shipped   ;1;1;2004;Motorcycles     ;95;S10_1678 ;Auto Canal+ Petit                 ;(1) 47.55.6555   ;25, rue Lauriston                         ;           ;Paris         ;             ;75016    ;France       ;EMEA ;Perrier    ;Dominique 
10223;37;100;1;3965.7;02/20/2004;Shipped   ;1;2;2004;Motorcycles     ;95;S10_1678 ;Australian Collectors, Co.        ;03 9520 4555     ;636 St Kilda Road                         ;Level 3    ;Melbourne     ;Victoria     ;3004     ;Australia    ;APAC ;Ferguson   ;Peter     
10237;23;100;7;2333.1;04/05/2004;Shipped   ;2;4;2004;Motorcycles     ;95;S10_1678 ;Vitachrome Inc.                   ;2125551500       ;2678 Kingston Rd.                         ;Suite 101  ;NYC           ;NY           ;10022    ;USA          ;NA   ;Frick      ;Michael   
10251;28;100;2;3188.6;05/18/2004;Shipped   ;2;5;2004;Motorcycles     ;95;S10_1678 ;Tekni Collectables Inc.           ;2015559350       ;7476 Moss Rd.                             ;           ;Newark        ;NJ           ;94019    ;USA          ;NA   ;Brown      ;William   
10263;34;100;2;3676.8;06/28/2004;Shipped   ;2;6;2004;Motorcycles     ;95;S10_1678 ;Gift Depot Inc.                   ;2035552570       ;25593 South Bay Ln.                       ;           ;Bridgewater   ;CT           ;97562    ;United States;NA   ;King       ;Julie     
