CardHoldersName,Card_Number,Expiry_Date,ShipToAddress,ShipToAddress1,ShipToCity,ShipToCountry,ShipToCustomerNumber,ShipToEmail,ShipToName,ShipToPhone,ShipToState,ShipToZip,RandZip,first_time_customer,order_dollar_amaout,num_items,age,web_order,total_transactions_to_date,billing_shipping_zip_equal,hour_of_day,Reported_as_fraud,rownum,lookup_id,NewShipToZip
Stacey Randolph       ,4485412948980274,719,?,3560 East China Ln.                                           ,Las Vegas             ,USA,429596,Clayton@turpis.edu         ,Geraldine *Moon        ,366-068-7755,NV,30385,87014,N,814.3,19,40.3,Y,53,N,12,Y,43800,1,89102
Jonas Oliver          ,340372253321980,920,?,58638 East Azerbaijan St.                                     ,Las Vegas             ,USA,900356,Breanna@parturient.org     ,Jonas *Oliver          ,547-180-8385,NV,50778,50348,Y,849.7,7,75,N,61,N,16,Y,48072,2,89109
Lillian Battle        ,4539153017462853,423,?,37103  Nauru Ln.                                              ,Las Vegas             ,USA,712401,Kenyon@turpis.com          ,Lillian *Battle        ,717-913-8886,NV,97337,97184,N,682.3,7,22.1,Y,79,N,17,Y,52828,3,89106
Meghan Sutton         ,6011278634656827,820,?,"19640 South Virgin Islands, U.S. Ct.                          ",Las Vegas             ,USA,973618,Hilary@magnis.com          ,Meghan *Sutton         ,990-916-4677,NV,79524,79252,N,755.6,19,90,N,38,N,14,N,59849,1,89102
Stacy Pate            ,5574563110560879,319,?,29100 North Bouvet Island Ln.                                 ,Las Vegas             ,USA,187191,Honorato@convallis.com     ,Stacy *Pate            ,012-810-2739,NV,3968,3803,N,662.2,18,58.9,N,77,N,17,N,81489,2,89109
Luke Holder           ,6011644431868594,822,?,12780 West Bulgaria Way                                       ,Las Vegas             ,USA,974049,Dawn@suscipit.us           ,Luke *Holder           ,334-951-6472,NV,60869,60572,N,480.1,17,36.3,Y,73,N,12,N,94264,3,89106
Aaron Rowland         ,5264599791644405,620,?,83688 West Lincoln Ct.                                        ,Las Vegas             ,USA,284982,Keaton@pede.edu            ,Aaron *Rowland         ,859-621-4401,NV,13123,13003,Y,514.5,4,22.7,Y,2,N,19,Y,72720,1,89102
Knox Mendoza          ,4929234721715055,1118,?,34685 North Trinidad and Tobago Blvd.                         ,Las Vegas             ,USA,564436,Isaac@senectus.com         ,Knox *Mendoza          ,830-456-0788,NV,12251,12146,N,967.6,13,65.9,N,45,N,15,N,32556,2,89109
Carissa Hickman       ,4485512988035416,522,?,39469 South Boulder Junction St.                              ,Las Vegas             ,USA,516913,Camden@ultrices.net        ,Carissa *Hickman       ,569-435-3352,NV,8502,8264,N,528.1,1,99,Y,62,N,3,N,8681,3,89106
Samantha Aguirre      ,4556110870801310,919,?,97503 North Gadsden Ave.                                      ,Las Vegas             ,USA,695701,Whoopi@consectetuer.edu    ,Samantha *Aguirre      ,691-341-7656,NV,981,816,N,936,20,44.7,N,84,N,1,Y,78450,1,89102
Delilah Kramer        ,4916122876833416,420,?,8430  Cameroon Ln.                                            ,Las Vegas             ,USA,431751,Otto@mi.us                 ,Madeline *Sloan        ,899-595-4487,NV,16035,64039,N,171.4,19,51.1,N,93,N,10,N,45856,2,89109
Jenette Mcbride       ,4485252137405547,722,?,60482 South Antigua and Barbuda Ln.                           ,Las Vegas             ,USA,358505,Kathleen@velit.us          ,Jenette *Mcbride       ,260-211-8228,NV,38611,38446,N,194.2,18,69.5,N,45,N,12,N,93914,3,89106
Yen Perez             ,6011035729509869,318,?,45353 West Argentina Blvd.                                    ,Las Vegas             ,USA,992182,Iona@imperdiet.net         ,Yen *Guzman            ,353-239-1183,NV,7642,18383,Y,655.8,4,41.3,N,97,N,20,N,97334,1,89102
Roanna Simmons        ,346068520855610,521,?,473 West Belize Ct.                                           ,Las Vegas             ,USA,809203,Carolyn@Vestibulum.com     ,Roanna *Simmons        ,072-134-8284,NV,51982,51849,Y,7.2,17,16.4,N,6,N,20,N,52117,2,89109
